Method,Power source,Region,Emission Factor [:math:`\kg\ \ce{CO2}e/ m^3`] [#efsourcenote]_
Drip,Diesel,GLO U,0.3347
Drip,Electricity,AR U,0.2571
Drip,Electricity,AU U,0.3806
Drip,Electricity,BE U,0.2148
Drip,Electricity,BR U,0.2173
Drip,Electricity,CA U,0.1984
Drip,Electricity,CH U,0.1715
Drip,Electricity,CI U,0.294
Drip,Electricity,CL U,0.2993
Drip,Electricity,CN U,0.4107
Drip,Electricity,CR U,0.1846
Drip,Electricity,DE U,0.2947
Drip,Electricity,EC U,0.2449
Drip,Electricity,ES U,0.2332
Drip,Electricity,FI U,0.2079
Drip,Electricity,FR U,0.1615
Drip,Electricity,GH U,0.2357
Drip,Electricity,GLO U,0.3374
Drip,Electricity,HU U,0.2671
Drip,Electricity,ID U,0.4348
Drip,Electricity,IN U,0.5204
Drip,Electricity,IT U,0.2469
Drip,Electricity,MA U,0.3624
Drip,Electricity,MX U,0.3048
Drip,Electricity,NL U,0.3024
Drip,Electricity,PH U,0.3264
Drip,Electricity,PL U,0.4096
Drip,Electricity,RS U,0.3844
Drip,Electricity,RU U,0.3441
Drip,Electricity,SE U,0.1585
Drip,Electricity,TR U,0.3268
Drip,Electricity,US U,0.316
Sprinkler,Diesel,GLO U,0.378
Sprinkler,Electricity,AR U,0.3004
Sprinkler,Electricity,AU U,0.4239
Sprinkler,Electricity,BE U,0.2581
Sprinkler,Electricity,BR U,0.2606
Sprinkler,Electricity,CA U,0.2417
Sprinkler,Electricity,CH U,0.2148
Sprinkler,Electricity,CI U,0.3373
Sprinkler,Electricity,CL U,0.3425
Sprinkler,Electricity,CN U,0.454
Sprinkler,Electricity,CO U,0.2396
Sprinkler,Electricity,CR U,0.2279
Sprinkler,Electricity,DE U,0.338
Sprinkler,Electricity,EC U,0.2882
Sprinkler,Electricity,ES U,0.2765
Sprinkler,Electricity,FI U,0.2512
Sprinkler,Electricity,FR U,0.2047
Sprinkler,Electricity,GB U,0.3254
Sprinkler,Electricity,GH U,0.279
Sprinkler,Electricity,GLO U,0.3807
Sprinkler,Electricity,HU U,0.3104
Sprinkler,Electricity,ID U,0.4781
Sprinkler,Electricity,IN U,0.5637
Sprinkler,Electricity,IT U,0.2901
Sprinkler,Electricity,MA U,0.4057
Sprinkler,Electricity,MX U,0.3481
Sprinkler,Electricity,NL U,0.3456
Sprinkler,Electricity,PH U,0.3697
Sprinkler,Electricity,PL U,0.4529
Sprinkler,Electricity,RS U,0.4277
Sprinkler,Electricity,RU U,0.3874
Sprinkler,Electricity,SE U,0.2018
Sprinkler,Electricity,TR U,0.37
Sprinkler,Electricity,UA U,0.3659
Sprinkler,Electricity,US U,0.3593
Surface,Diesel,GLO U,0.3418
Surface,Electricity,AR U,0.2642
Surface,Electricity,AU U,0.3877
Surface,Electricity,BE U,0.2219
Surface,Electricity,BR U,0.2243
Surface,Electricity,CA U,0.2055
Surface,Electricity,CH U,0.1786
Surface,Electricity,CI U,0.301
Surface,Electricity,CL U,0.3063
Surface,Electricity,CN U,0.4177
Surface,Electricity,CO U,0.2034
Surface,Electricity,CR U,0.1916
Surface,Electricity,EC U,0.252
Surface,Electricity,ES U,0.2402
Surface,Electricity,FR U,0.1685
Surface,Electricity,GH U,0.2428
Surface,Electricity,GLO U,0.3445
Surface,Electricity,HU U,0.2741
Surface,Electricity,ID U,0.4419
Surface,Electricity,IN U,0.5275
Surface,Electricity,IT U,0.2539
Surface,Electricity,MA U,0.3694
Surface,Electricity,MX U,0.3119
Surface,Electricity,PH U,0.3335
Surface,Electricity,RS U,0.3915
Surface,Electricity,RU U,0.3512
Surface,Electricity,TR U,0.3338
Surface,Electricity,US U,0.323
Surface,Electricity,VN U,0.2634
